date,Debit,credit,amount,balance,mode of transaction,customer name,bank name,transaction details,balance amount
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Payout H 35099825 ~Rel,52530.0
Unknown,Unknown,12 05,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,GO,53735.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,MotoPaix,53747.0
Unknown,Unknown,06,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,MonopRIX SA,53753.0
Unknown,Unknown,12 05,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,CbelecleRc,54958.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,CpaM,54970.0
Unknown,Unknown,14,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Rel,54984.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,~Ret,54996.0
Unknown,Unknown,02,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Bolt Blince Payout,54998.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Rel,55010.0
Unknown,Unknown,02,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,CHEQUE Iroooooso,55012.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Cux,55024.0
Unknown,Unknown,02,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Nuv€ Iqtc CS,55026.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,CeDe,55038.0
Unknown,Unknown,03,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,8S ctumnucuCode,55041.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Honcureet,55053.0
Unknown,Unknown,03,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Soocte onmme'Drectoreet,55056.0
