date,Debit,credit,amount,balance,mode of transaction,customer name,bank name,transaction details,balance amount
,,21 40,,,Credit,,Banque Indicatit,SOLDE,7164552.1499999985
,,30,,,Credit,,Banque Indicatit,FGDR,7164582.1499999985
,,"52,04",,,Credit,,Banque Indicatit,LCLIr,7169786.1499999985
,,"35 806,16",,,Credit,,Banque Indicatit,Page 11 Credit Lyonnais,10750402.149999999
,,10.02,,,Credit,,Banque Indicatit,SiREn 954 509 741 RCS Lyon 18,10750412.169999998
,,"35 754,12",,,Credit,,Banque Indicatit,rue de la République,14325824.169999998
,,8,,,Credit,,Banque Indicatit,,14325832.169999998
,,1,,,Credit,,Banque Indicatit,,14325833.169999998
,,8,,,Credit,,Banque Indicatit,,14325841.169999998
,,1,,,Credit,,Banque Indicatit,,14325842.169999998
,,1,,,Credit,,Banque Indicatit,,14325843.169999998
,,0,,,Credit,,Banque Indicatit,,14325843.169999998
,,11,,,Credit,,Banque Indicatit,,14325854.169999998
,,2 037 713 591,,,Credit,,Banque Indicatit,,2052039445.17
,,954 509 741,,,Credit,,Banque Indicatit,,3006549186.17
,,18,,,Credit,,Banque Indicatit,,3006549204.17
,,07 00,,,Credit,,Banque Indicatit,,3006549904.17
01.01.2022,,01.01,,,Credit,,PRLV,LCL RELEVE DE COMPTE COURANT,1.01
10.01.2022,,10.01,,,Credit,,PRLV,N,11.02
,,337,,,Credit,,PRLV,D'IDENTITE,348.02
,,58,,,Credit,,PRLV,58 AVENUE DE FONTAINEBLEAU 94270,406.02
,,0,,,Credit,,PRLV,ATY,406.02
,,1,,,Credit,,PRLV,MONSIEUR,407.02
,,1 50,,,Credit,,PRLV,MONSIEUR AMOKRANE,557.02
,,10,,,Credit,,PRLV,BICETRE,567.02
,,28,,,Credit,,PRLV,Clé,595.02
,,12,,,Credit,,PRLV,T 50 References bancaires internationales,607.02
,,50,,,Credit,,PRLV,T50 BIC,657.02
,,31.12,,,Credit,,PRLV,CREDIT 31.12,688.14
,,"72 447,86",,,Credit,,PRLV,SOLDE,7245474.14
,,31.12,,,Credit,,PRLV,EXTRAIT,7245505.26
,,04.01,,,Credit,,PRLV,DECADAIRE,7245509.27
,,22,,,Credit,,PRLV,SOLDE INTERMEDIAIRE A FIN,7245531.27
,,"9,00",,,Credit,,PRLV,ABONNEMENT,7246431.27
,,"72 438,86",,,Credit,,PRLV,LIBELLE MULTIPREVOYANCE PRO2300O0105568 REF,14490317.27
,,03.01,,,Credit,,PRLV,CLIENT OOOOOADE2201010000105568,14490320.28
,,03.01,,,Credit,,PRLV,ADESOOOO10556800933750,14490323.29
,,03.01,,,Credit,,PRLV,TOTAUX,14490326.299999999
,,22 03,,,Credit,,PRLV,SOLDE,14492529.299999999
,,01 22,,,Credit,,PRLV,Résolution,14492651.299999999
,,"40,30",,,Credit,,PRLV,dillusee,14496681.299999999
,,"6,24",,,Credit,,PRLV,lormulaire dinlormation,14497305.299999999
,,"55,54",,,Credit,,PRLV,Dispositions genérales de banque disponibles,14502859.299999999
,,"72 447,86",,,Credit,,PRLV,LCLIr,21747645.299999997
,,10.01,,,Credit,,PRLV,volre conseiller,21747655.31
,,"72 392,32",,,Credit,,PRLV,RCS Lyon 18,28986887.31
,,8,,,Credit,,PRLV,rue de la République,28986895.31
,,1,,,Credit,,PRLV,,28986896.31
,,8,,,Credit,,PRLV,,28986904.31
,,1,,,Credit,,PRLV,,28986905.31
,,0,,,Credit,,PRLV,,28986905.31
,,1,,,Credit,,PRLV,,28986906.31
,,1,,,Credit,,PRLV,,28986907.31
,,2 037 713 591,,,Credit,,PRLV,,2066700498.31
,,954 509 741,,,Credit,,PRLV,,3021210239.31
,,18,,,Credit,,PRLV,,3021210257.31
,,07 00,,,Credit,,PRLV,,3021210957.31
08/07/2021,40,,40,,Unknown,,Deliveroo,CCM RENNES,-40.0
07/07/2021,8,,8,,Unknown,,Deliveroo,CHALOTAIS 35000 RENNES,-48.0
07/07/2021,1,,1,,Unknown,,Deliveroo,CARTESICHEQUIERS,-49.0
08/07/2021,11,,11,,Unknown,,Deliveroo,Titulaire(s,-60.0
08/07/2021,07,,07,,Unknown,,Deliveroo,EPI SERVICE PrIMEUR,-67.0
08/07/2021,11,,11,,Unknown,,Deliveroo,NUMÉRO DE,-78.0
08/07/2021,02 99,,02 99,,Unknown,,Deliveroo,Crédit ANCIEN SOLDE CRÉDITEUR,-377.0
08/07/2021,14 94,,14 94,,Unknown,,Deliveroo,TPV,-1871.0
08/07/2021,34,,34,,Unknown,,Deliveroo,TPV,-1905.0
08/07/2021,31,,31,,Unknown,,Deliveroo,TPV,-1936.0
08/07/2021,75 10,,75 10,,Unknown,,Deliveroo,CARTE,-9446.0
08/07/2021,11,,11,,Unknown,,Deliveroo,COM,-9457.0
08/07/2021,02 98,,02 98,,Unknown,,Deliveroo,CARTES,-9755.0
08/07/2021,28 42,,28 42,,Unknown,,Deliveroo,COM,-12597.0
08/07/2021,28,,28,,Unknown,,Deliveroo,CARTES 0386405 64 0707,-12625.0
08/07/2021,95,,95,,Unknown,,Deliveroo,COM,-12720.0
08/07/2021,095,,095,,Unknown,,Deliveroo,CARTES,-12815.0
09/07/2021,07,,07,,Unknown,,Deliveroo,COM,-12822.0
09/07/2021,"17 178,52",,"17 178,52",,Unknown,,Deliveroo,CARTES,-1730674.0
01/07/2021,08,,08,,Unknown,,Deliveroo,COM,-1730682.0
09/07/2021,07 08,,07 08,,Unknown,,Deliveroo,CARTES,-1731390.0
09/07/2021,07 08,,07 08,,Unknown,,Deliveroo,TPV,-1732098.0
09/07/2021,07 08,,07 08,,Unknown,,Deliveroo,TPV,-1732806.0
09/07/2021,07 08,,07 08,,Unknown,,Deliveroo,CARTE,-1733514.0
09/07/2021,07 08,,07 08,,Unknown,,Deliveroo,CARTE,-1734222.0
09/07/2021,07 08,,07 08,,Unknown,,Deliveroo,COMM,-1734930.0
09/07/2021,07 08,,07 08,,Unknown,,Deliveroo,COM,-1735638.0
09/07/2021,07 08,,07 08,,Unknown,,Deliveroo,CARTES,-1736346.0
09/07/2021,07 08,,07 08,,Unknown,,Deliveroo,COM,-1737054.0
09/07/2021,07 08,,07 08,,Unknown,,Deliveroo,CARTES,-1737762.0
09/07/2021,07 08,,07 08,,Unknown,,Deliveroo,COM,-1738470.0
09/07/2021,07 08,,07 08,,Unknown,,Deliveroo,CARTES 0386405,-1739178.0
,07 09,,07 09,,Unknown,,Deliveroo,COM,-1739887.0
,07 09,,07 09,,Unknown,,Deliveroo,CARTES,-1740596.0
,07 09,,07 09,,Unknown,,Deliveroo,COM,-1741305.0
,07 09,,07 09,,Unknown,,Deliveroo,CARTES,-1742014.0
,07 09,,07 09,,Unknown,,Deliveroo,COM,-1742723.0
,07 09,,07 09,,Unknown,,Deliveroo,CARTES,-1743432.0
,07 09,,07 09,,Unknown,,Deliveroo,COM,-1744141.0
,07 09,,07 09,,Unknown,,Deliveroo,CARTES 0386405 64 0707,-1744850.0
,07 09,,07 09,,Unknown,,Deliveroo,COM,-1745559.0
,07 09,,07 09,,Unknown,,Deliveroo,CARTES,-1746268.0
